Team,Wins,Losses,GP,Win_Pct,PF,PA,Avg_Margin,School_Slug,Conference,Opp_Win_Pct,Opp_Opp_Win_Pct,SOS
Montclair,1,8,9,0.1111,128,401,-30.333,montclair-montclair,SFC,0.5734,0.4583,0.535
North Brunswick,0,9,9,0.0,77,357,-31.111,north-brunswick-north-brunswick,Big Central,0.4982,0.4507,0.4824
Middle Township,1,9,10,0.1,60,383,-32.3,cape-may-ct-hse-middle-township,WJFL,0.5184,0.4433,0.4934
Dover,0,10,10,0.0,98,422,-32.4,dover-dover,SFC,0.4609,0.4611,0.461
Lincoln,1,7,8,0.125,78,344,-33.25,jersey-city-lincoln,SFC,0.446,0.4825,0.4582
Clearview,1,10,11,0.0909,59,430,-33.727,mullica-hill-clearview,WJFL,0.5427,0.4502,0.5118
J.P. Stevens,0,10,10,0.0,80,418,-33.8,edison-jp-stevens,Big Central,0.5391,0.4334,0.5038
Dunellen,0,9,9,0.0,49,384,-37.222,dunellen-dunellen,Big Central,0.4495,0.4348,0.4446
Orange,0,9,9,0.0,33,377,-38.222,orange-orange,SFC,0.4901,0.4305,0.4702
Paterson Kennedy,0,9,9,0.0,26,372,-38.444,paterson-paterson-kennedy,SFC,0.4155,0.4378,0.4229
Gloucester Catholic,0,10,10,0.0,66,484,-41.8,gloucester-city-gloucester-catholic,WJFL,0.4158,0.4341,0.4219
West Windsor-Plainsboro South,0,10,10,0.0,21,471,-45.0,princeton-jct-west-windsor-plainsboro-south,WJFL,0.4889,0.4371,0.4716
